date,device_id,open_count,report_time,device_model,android_version,manufacturer,sdk_version,version,ip_address,ip_type,country_name,country_code,region_name,region_code,city,latitude,longitude,timezone_id,current_time,isp
"2025-04-16","94975b3edc87285e",5,"2025-04-16 00:25:11","Pixel 9 Pro Fold","15","Google",35,"1.7.4.4","172.235.49.92","unknown","United States","US","California","CA","Los Angeles","34.0544","-118.2441","America/Los_Angeles","","Akamai Connected Cloud"
"2025-04-16","755d625532084cc5",1,"2025-04-16 00:25:35","23127PN0CC","15","Xiaomi",35,"1.7.4.4","129.213.38.176","unknown","United States","US","Virginia","VA","Ashburn","39.018","-77.539","America/New_York","","ORACLE-BMC-31898"
"2025-04-16","ffa5c884e0610ed3",2,"2025-04-16 00:29:14","PKR110","15","OnePlus",35,"1.7.4.4","14.150.3.94","ipv4","中国","CN","广东省","GD","廣州市","23.124719619750977","113.23860931396484","Asia/Shanghai","2025-04-16T00:29:15+08:00","Chinanet"
"2025-04-16","3b2c7bde652b6038",3,"2025-04-16 00:39:33","M2002J9E","11","Xiaomi",30,"1.7.4.4","111.25.4.6","ipv4","中国","CN","吉林省","JL","长春","43.869998931884766","125.3499984741211","Asia/Shanghai","2025-04-16T00:39:34+08:00","China Mobile Group Jilin Communications Corporation"
"2025-04-16","ab2c54a01e315330",4,"2025-04-16 00:46:21","22081212C","15","Xiaomi",35,"1.7.4.4","43.207.202.139","ipv4","日本","JP","東京都","13","Shimo’ochiai","35.68949890136719","139.6916961669922","Asia/Tokyo","2025-04-16T01:46:22+09:00","amazon.com Inc."
"2025-04-15","c0a5df0100fb5f3b",20,"2025-04-15 22:22:20","RMX3371","13","realme",33,"1.7.4.4","152.59.102.213","unknown","India","IN","Rajasthan","RJ","Jaipur","26.9525","75.7105","Asia/Kolkata","","Reliance Jio Infocomm Limited"
"2025-04-15","53a750c6fde1a16d",7,"2025-04-15 13:59:25","Z2 Plus","13","ZUK",33,"1.7.4.4","177.10.226.174","unknown","Brazil","BR","São Paulo","SP","Vinhedo","-23.0564","-46.9834","America/Sao_Paulo","","VIAFIBRA TELECOMUNICACOES LTDA"
"2025-04-16","663b667553dcb1e5",4,"2025-04-16 01:39:32","PGP110","14","OnePlus",34,"1.7.4.4","5.2.78.29","unknown","The Netherlands","NL","Drenthe","DR","Meppel","52.6896","6.176","Europe/Amsterdam","","The Infrastructure Group B.V."
"2025-04-16","78d3797e951fa7d4",2,"2025-04-16 01:39:37","MEIZU 20 Pro","13","meizu",33,"1.7.4.4","113.84.194.160","ipv4","中国","CN","广东省","GD","廣州市","23.124719619750977","113.23860931396484","Asia/Shanghai","2025-04-16T01:38:59+08:00","Chinanet Guangdong Province Shenzhen Man Network"
"2025-04-15","a7191571d3b8c46a",56,"2025-04-15 19:55:02","moto g82 5G","13","motorola",33,"1.7.4.4","46.29.25.86","unknown","The Netherlands","NL","North Holland","NH","Hoofddorp","52.297","4.6999","Europe/Amsterdam","","HURRICANE"
"2025-04-16","e9305886eb2165c6",3,"2025-04-16 01:58:24","2203121C","15","Xiaomi",35,"1.7.4.4","222.218.210.43","unknown","China","CN","","","","34.7732","113.722","Asia/Shanghai","","Chinanet"
"2025-04-16","978d64c3a3c465c5",2,"2025-04-16 02:09:32","22081212C","13","Xiaomi",33,"1.7.4.4","39.148.75.199","ipv4","中国","CN","河南省","HA","Anyang","36.08306121826172","114.35333251953125","Asia/Shanghai","2025-04-16T02:09:29+08:00","Henan Mobile Communications Co. Ltd"
"2025-04-15","4e2b605822045ef1",56,"2025-04-15 20:36:38","SM-A715F","13","samsung",33,"1.7.4.4","85.90.135.83","unknown","Austria","AT","Vienna","9","Vienna","48.1535","16.3855","Europe/Vienna","","Telekom Austria"
"2025-04-16","ba542807f88161a8",5,"2025-04-16 02:38:08","KB2000","13","OnePlus",33,"1.7.4.4","74.176.190.47","unknown","United States","US","","","","37.751","-97.822","America/Chicago","","MICROSOFT-CORP-MSN-AS-BLOCK"
"2025-04-16","3e72ab716b659832",2,"2025-04-16 02:47:47","M2007J3SC","12","Xiaomi",31,"1.7.4.4","8.223.17.139","unknown","Singapore","SG","","","","1.3673","103.8014","Asia/Singapore","",""
"٢٠٢٥-٠٤-١٥","3618cfb92c5ef7a6",12,"٢٠٢٥-٠٤-١٥ ٢٢:٠١:١٤","SM-A155F","14","samsung",34,"1.7.4.4","","","","","","","","","","","",""
"2025-04-16","aecc5b2b444c0e15",7,"2025-04-16 03:03:33","Pixel 7 Pro","15","Google",35,"1.7.4.4","181.215.6.240","unknown","Hong Kong","HK","","","","22.2578","114.1657","Asia/Hong_Kong","","Alice Networks Ltd"
"2025-04-16","6e490d89912071fb",15,"2025-04-16 00:40:40","M2002J9G","15","Xiaomi",35,"1.7.4.4","112.134.128.85","unknown","Sri Lanka","LK","Gampaha District","12","Wattala","6.9847","79.8838","Asia/Colombo","","Sri Lanka Telecom Internet"
"2025-04-15","9925e43c4238f4cd",24,"2025-04-15 21:12:18","Redmi Note 5","14","Xiaomi",34,"1.7.4.4","197.120.51.44","unknown","Egypt","EG","Cairo Governorate","C","Cairo","30.0588","31.2268","Africa/Cairo","","Etisalat Misr"
"2025-04-16","3b09ec7c1ddb23b2",8,"2025-04-16 02:15:15","SM-S908B","14","samsung",34,"1.7.4.4","","","","","","","","","","","",""
"2025-04-16","24f18c96d960fba6",25,"2025-04-16 03:16:09","PJA110","13","OnePlus",33,"1.7.4.4","117.151.235.229","ipv4","中国","CN","湖北省","HB","鄂州","30.3811092376709","114.8741683959961","Asia/Shanghai","2025-04-16T02:46:13+08:00","China Mobile Communications Group Co. Ltd."
